amenity,weight
conference_centre,1
social_facility,1
theatre,1
townhall,1
university,1
fire_station,1
school,1
college,1
recycling,1
,1
fuel,1
place_of_worship,1
research_institute,1
community_centre,1
hospital,1
library,1
social_centre,1
pub,1
restaurant,1
cafe,1
bank,1
post_office,1
fast_food,1
cinema,1
courthouse,1
music_school,1
kindergarten,1
ferry_terminal,1
car_wash,1
childcare,1
stage,1
pharmacy,1
grave_yard,1
police,1
food_court,1
veterinary,1
ice_cream,1
clinic,1
taxi,1
boat_rental,1
art_gallery,1
post_box,1
bicycle_rental,1
doctors,1
charging_station,1
atm,1
bus_station,1
clock,1
telephone,1
bar,1
nightclub,1
dentist,1
bicycle_repair_station,1
car_rental,1
billiard_hall,1
lifeboat_station,1
studio,1
music_venue,1
events_venue,1
biergarten,1
marketplace,1
lounger,1
tattoo_parlor,1
dojo,1
financial_advice,1
bureau_de_change,1
diving_school,1
vending_machine,1
vacuum_cleaner,1
arts_centre,1
shower,1
